"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53"
"1",0.493928265000001,-0.00821774499999922,-0.00537153499999986,-0.0130568150000003,-0.00329247499999979,0.000617685000001442,-0.00254421000000093,0.00469540000000111,-0.00781239999999832,-0.00370927000000011,-0.00450169499999974,-0.0024649349999996,-0.000873925000001006,-0.00418495999999874,-0.00479790500000077,-0.00602463500000039,-0.00247546999999906,-0.00120176999999891,-0.00442817999999964,-0.00780258000000017,-0.00695856499999928,-0.00566510500000119,-0.00868672499999934,-0.00805868500000041,-0.00345980500000039,0.00204013999999998,0.10093188,-0.00280004000000131,-0.00104495500000034,-0.00419690500000046,0.00110424499999971,0.130453724999999,-0.00358914500000105,-0.00912163500000013,0.00233850000000039,-0.00151514499999957,-0.00584144499999978,-0.00503665000000143,-0.00203199000000025,-0.00552120000000105,-0.00654859999999986,0.00254558499999904,-0.00601787500000025,-0.00827424000000008,0.000209705000000066,-0.00350744500000001,-0.00598662000000001,-0.00135421999999853,-0.00942441999999992,-0.00406684000000038,-0.00172979000000002,0.000419415000001209,-0.0128304950000004
"2",-0.00821774499999921,0.497879179999998,-0.0018039299999986,-0.00291757999999833,-0.00931342499999834,0.00452626999999922,-0.000824560000000803,-0.00233317999999967,0.148761609999997,-0.00263251499999957,-0.0135512899999991,0.00192911500000051,-0.00438368999999965,-0.0121139900000003,-0.000630784999999179,-0.00788402499999907,-0.00600625499999943,0.000855099999999409,0.00125121500000049,0.00143935499999873,-0.010386324999999,-0.00462822999999922,0.00163347500000051,-0.00398488500000064,-0.00683573000000031,-0.015490780000001,-0.000154069999998646,0.00301670999999849,-0.00430131999999903,-0.00344957000000047,-0.0082895549999989,0.00091690500000229,-0.00976856000000049,0.00197912500000202,-0.0130445499999999,-0.0131377699999999,-0.00469931999999977,-0.000607705000000591,-0.00863947500000021,-0.00234638500000064,-0.00568060999999918,-0.0137918450000017,-0.00962512999999936,-0.00473990999999841,-0.00616706999999853,0.00296768999999855,-0.0108082850000006,-0.000742219999999214,0.00138230999999932,0.0166304999999992,-0.00909886000000112,-0.00366387500000032,-0.00320163999999919
"3",-0.00537153499999987,-0.00180392999999859,0.501264955000004,-0.0108326900000001,-0.0187979550000004,0.00115030499999925,0.00196584500000172,0.11484595,-0.00896294999999895,-0.00242168500000058,-0.00160384000000053,-0.00409710499999825,-0.00412112499999831,0.0100691250000012,-0.0049119750000014,0.12029966,0.166220829999999,0.000931544999998965,0.000728109999999543,-0.00999326999999986,-0.00688730500000037,-0.00745668500000206,-0.0116007250000022,0.00137283500000036,0.00211583999999927,0.00530360499999927,-0.00679121999999868,-0.003848909999998,-0.00399504999999982,-0.00911744500000106,-0.00401321500000037,-0.00209753499999969,-0.00827191499999926,-0.00415212499999975,0.0145701849999986,-0.00495768499999987,-0.000303949999999033,-0.0035705849999983,-0.00512861500000061,0.00766644000000053,-0.00713429,-0.0130281699999995,-0.00677049000000067,0.0116572200000009,-0.00389993499999956,0.0112115149999985,-0.01016825,-0.00693660499999884,-0.00978737499999903,-0.00186283499999955,-0.00448455500000004,-0.000218859999999613,0.101796030000002
"4",-0.0130568150000003,-0.00291757999999833,-0.0108326900000001,0.483482260000001,0.0104116649999994,0.00378290499999848,-0.0018503950000007,-0.00979940499999966,-0.00479791999999997,-4.53699999988138e-05,0.00840332000000117,-0.00697473000000192,-0.0100801450000012,-0.00847400500000037,-0.0078597349999977,-0.00414376000000066,-0.0042999599999979,-0.0098589100000024,-0.00668778000000082,-0.00455815999999983,0.0134730400000009,-0.0122097949999967,-0.00845579499999797,0.0102838250000016,0.0104782200000026,0.116402195,-0.0127364600000008,-0.00309465500000172,-0.00827541500000072,0.0231265750000023,-0.0024100300000004,-0.00412332499999983,-0.00721456000000178,0.00942034499999828,0.00579693999999825,-0.00599336000000123,-0.00411498999999995,0.00902779999999933,0.0739571250000024,-0.00871906000000049,0.0211913500000001,-0.00316444499999951,0.00592780000000204,-0.00710474999999981,-0.00930623999999941,-0.000735425000002453,-0.00765809499999798,-0.00886590499999855,0.177140039999998,-0.00677624500000003,0.00436351499999988,-0.0105378700000014,-0.00495828999999958
"5",-0.0032924749999998,-0.00931342499999835,-0.0187979550000004,0.0104116649999994,0.491356924999997,-0.0127711499999996,-0.00651420499999994,-0.00736376499999943,-0.0122714249999991,0.159283084999999,0.144381324999999,-0.0111734349999993,-0.0172476600000007,-0.00825583999999864,-0.00744357500000062,-0.0108160400000009,-0.0130054350000004,0.0125743700000003,-0.00501690000000031,0.00545209999999992,0.0918440899999984,-0.0093889550000018,-0.00741015000000087,-0.00563623500000053,-0.0112052800000024,0.00512131500000004,-0.00256367499999988,-0.000803764999999383,-0.00887309999999911,-0.00188747000000128,0.158853375,-0.00752950500000061,0.169346929999999,0.00615551499999939,-0.0134393099999983,-0.00439425499999967,-0.00168859499999911,-0.00977194999999917,0.00115466499999932,-0.013623629999999,-0.00224322500000024,-0.00656361500000103,-0.00101450500000087,-0.0112943499999998,-0.00267377500000134,-0.0180830699999986,-0.0118135350000014,0.000493794999999607,-0.0143031799999988,-0.00268943999999874,-0.00978978999999905,-0.00488379499999902,-0.0163645900000009
"6",0.000617685000001443,0.00452626999999921,0.00115030499999924,0.00378290499999847,-0.0127711499999996,0.497352714999998,0.00480207500000026,-0.00395746000000007,-0.00176093499999963,-0.00360870000000161,-0.0046687249999989,0.156135665,-0.00464784500000115,-0.00417179500000035,0.000217660000000193,-0.00689456500000058,-0.0100653349999987,0.362167124999998,-0.0102618799999988,0.117737789999999,-0.00631886499999965,-0.0100568450000003,-0.00675989499999903,-0.00791671500000141,-0.00365347500000132,-0.00299845000000078,-0.00119319000000037,-0.000365885000001094,-0.00188032999999864,-0.00856225500000074,0.00443897000000002,-0.00285947499999808,-0.00522605499999904,-0.00450095000000153,-0.00133609000000039,-0.0022306150000008,0.00231472000000203,-0.00584047999999923,-0.00451769500000054,-0.00638363500000225,0.00110563499999996,-0.0051012099999994,-0.0046498200000013,-0.0125564250000007,-0.00482276000000011,0.00204186999999987,-0.00152673999999959,-0.00446366499999937,0.017335484999999,-0.00548553000000044,-0.00673086999999882,-0.00275541999999893,-0.00762092000000018
"7",-0.00254421000000093,-0.000824560000000804,0.00196584500000172,-0.0018503950000007,-0.00651420499999994,0.00480207500000027,0.49708746,-0.000912454999999765,-0.00179604500000134,-0.00241467000000125,-0.00965952999999953,0.00728020499999974,0.153241269999999,-0.00487761000000042,-0.0048633299999996,-0.00451763499999987,-0.00721317499999911,-0.00418372499999981,0.0151762300000004,0.00924524999999976,-0.0127664349999994,-0.0094353650000012,-0.005981380000001,0.109727644999998,0.00295903499999985,-0.00751328499999958,-0.00750237499999942,-0.00556007499999801,-0.00331874000000007,-0.0136709350000014,-0.0127743949999993,0.00243090499999902,-0.00446602999999944,-0.00785196500000103,-0.00287956999999817,-0.00221974499999989,-0.0102763099999983,0.13670046,-0.0072202000000009,-0.00660723500000275,-0.00618354999999806,-0.00982364999999922,0.000829930000000002,0.000773990000000051,0.014800855,-0.00347941499999972,-0.0107918799999988,-0.00931093499999984,-0.00294689500000148,0.00318982000000132,-0.0118291099999989,-0.00433008499999841,0.000563930000000804
"8",0.0046954000000011,-0.00233317999999968,0.11484595,-0.00979940499999965,-0.00736376499999943,-0.00395746000000008,-0.000912454999999771,0.493593345,-0.00477236999999776,-0.0072529950000009,-0.00821237500000173,0.00462361500000195,-0.00028852500000036,0.0061534900000003,-0.00368724500000121,0.151654670000001,0.12192834,0.0153682699999997,0.000777650000001422,-0.00637250999999929,-0.0113452100000007,-0.00948902500000206,0.118349854999999,-0.00318769999999909,0.00133924999999717,-0.0080845799999992,-0.00786704499999986,-0.00716756999999864,-0.00677743999999851,-0.00454774500000098,-0.0113919400000003,-0.000598024999998191,-0.0119510949999984,-0.00481907000000041,0.00396707000000015,-0.00598627499999932,-0.0049909749999998,-0.00802855499999724,-0.00626590000000054,0.0069055149999999,-0.0103183800000024,-0.00623778999999926,-0.00849961500000225,-0.00221271500000003,-0.00316742999999945,-0.00343216500000001,-0.00738959000000346,0.00427317999999963,-0.0107398349999985,-0.0119405250000006,0.00116699999999971,0.000607290000002012,0.0515065050000001
"9",-0.00781239999999833,0.148761609999997,-0.00896294999999892,-0.00479791999999998,-0.0122714249999991,-0.00176093499999963,-0.00179604500000134,-0.00477236999999776,0.504768764999999,-0.000579270000000741,-0.00705834499999984,-0.00546707000000057,-0.00766782000000093,-0.0013494200000003,0.00224302000000007,-0.00548979499999942,-0.00430506999999862,-0.00279327499999864,-0.00618599999999859,-0.00873491500000161,-0.00573313999999996,-0.0133685099999996,-0.00330872499999979,0.00624857000000003,-0.00697296999999888,-0.00401920999999941,-0.00865466499999914,0.00393307999999902,-0.011423894999999,0.00849094999999951,-0.0153035649999996,0.00276604000000028,-0.0116972200000001,-0.0113110799999994,0.0874230100000004,-0.00764962500000173,0.00297535000000031,-0.00240747500000001,-0.00588764000000139,-0.000813340000000895,-0.00847141000000018,0.00163924499999928,-0.0100145149999996,0.00333791999999958,-0.00151063999999913,-0.00479661500000034,-0.00627690500000084,0.00190084999999974,-0.00168843500000073,-0.00454607500000094,-0.0170624249999995,0.084339235,-0.00232277500000197
"10",-0.00370927000000011,-0.00263251499999958,-0.00242168500000058,-4.53699999988199e-05,0.159283084999999,-0.0036087000000016,-0.00241467000000124,-0.0072529950000009,-0.000579270000000745,0.500794124999999,0.0593045849999992,0.00614256500000004,-0.00788512999999983,-0.00834554999999914,0.00188264000000106,-0.00852490000000054,-0.00374206499999961,0.00144938499999829,-0.00113730999999895,0.00483366499999892,0.0636403949999987,-0.01172702,0.00116179499999929,-0.0107540000000011,0.0960457500000004,-0.00136725499999961,-0.00396995499999995,-0.0068090400000002,-0.00166170499999888,-0.000200605000000816,0.14249799,-0.00101851999999915,-0.00391661500000094,-0.000163159999999251,-0.0102356700000003,-0.00300599000000018,-0.00142816500000022,0.000811490000000619,-0.00772339500000036,0.00166300000000001,0.00232323499999955,-0.00228828500000163,-0.00216160500000026,-0.0105130199999993,0.000177679999999001,-0.0120584399999995,-0.0115754050000005,-0.00394893000000032,-0.00750577499999838,0.000680654999999666,-0.00469309499999921,-0.00416977000000037,-0.00657152499999924
