"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
"1",0.490397279999998,0.00105775999999857,-0.00157976999999934,-0.0086337699999997,0.10356702,-0.0122025250000014,-0.00429626500000067,-0.00148146000000086,0.0143402299999998,-0.00615162499999937,-0.00708314499999968,0.00112064500000052,-0.00443672500000011,-0.00898913499999975,-0.0111104849999993,0.0136095899999985,-0.00235231499999952,0.126778785,-0.00427941500000095,-0.00185434499999928,-0.00813351500000065,0.00196102999999946,-0.00717633000000157,-0.00940626000000016,-0.000780489999998165,-0.00153352000000044,-0.00614055999999981,-0.0123452350000005,-0.00527573999999874,-0.00559935499999841,-0.0025560400000011,-0.00597231500000007,-0.00563696999999903,-0.0158694999999984,-0.0109059150000004,-0.00189204999999999,0.00213106000000092,0.00321272499999996,-0.00685896000000055,-0.00444990500000062,-0.000988909999998799,-0.00762629999999996,-0.00632849500000078,0.0116514099999985,-0.00686012000000055,0.00573138999999953,-0.00643957000000036,0.00618053999999958,0.00288030000000095,0.00178073000000025,-0.00249327999999863,0.174700455000001,0.00341586500000122,-0.00230377500000035,-0.00105940500000092,-0.00229355000000048,-0.00597791500000044,-0.00910286000000042,0.0107429750000008,-0.0028066850000003,-0.00371182000000056,0.00847776499999931,-0.00474574500000013
"2",0.00105775999999857,0.491893440000002,0.00224825499999926,-0.00696822500000047,0.00173895999999822,-0.00455612499999833,0.00372993000000249,-0.00117664499999933,-0.00598935499999988,-0.00929103500000062,0.00183725499999875,-0.00994181000000056,-0.00272434999999953,0.00266765500000033,0.013502854999999,0.00616961999999948,-0.004632414999999,-0.00249497000000026,0.00174518499999969,-0.00343460500000008,-0.000565934999999943,-0.00558134000000114,-0.00222757499999898,-0.00652252000000019,0.000912339999999505,-0.00642332500000058,-0.00312026499999805,-0.00276270000000007,0.00337842500000044,-0.00338420999999888,-0.00214388999999991,0.00370529499999985,-0.000178959999998669,-0.00242391999999825,-0.00514876000000062,0.000325254999998197,0.0197045149999989,-0.00772712999999949,-0.0102809950000017,-0.000426864999999793,0.00677660000000013,-0.00855572500000095,0.00664170500000119,0.00187986999999911,-0.000460139999999451,-0.008150414999999,-0.00456514500000048,0.141086099999998,-0.00489930000000025,0.0011034700000001,-0.000384275000001211,-0.00181754999999989,0.0012076100000001,0.00772628500000137,-0.000830204999999121,-0.00646822499999897,0.00845910500000002,0.000701705000001556,0.00613093000000016,-0.00794457999999803,-0.00240197999999814,-0.00191254499999983,-0.001515109999999
"3",-0.00157976999999934,0.00224825499999927,0.515946185,-0.00122170000000031,-0.00503355500000007,-0.00859027499999986,-0.00908694000000051,-0.00543968999999798,-0.00465942499999916,-0.00953373500000016,-0.00671928499999986,-0.00280680999999956,0.00864979999999925,-0.000367099999999688,-0.0111711049999993,0.0267863549999994,-0.00426262499999988,0.00723908500000027,-0.00742258999999998,-0.00895123999999961,0.0150605499999995,0.15676886,-0.00263233999999926,0.000361414999999425,-0.00316659499999977,0.000437485000000289,-0.00709185000000072,0.00139388499999837,-0.00263323000000024,-0.00441355499999976,-0.00154028000000029,-0.00223955500000035,-0.00521927499999839,-0.00243271499999992,0.00137501999999983,-0.00257769499999875,0.00155249499999894,0.12513819,-0.0101933249999994,-0.00643833500000076,-0.0061388300000009,-0.00316527500000046,0.00183166000000072,-0.00337039500000068,-0.0107111399999999,-0.0107639549999984,-0.00179561499999991,-0.00245929000000061,0.00561907499999958,0.0702883050000001,-0.000447085000000108,0.222581080000001,-0.00483948999999928,-0.00655178499999971,-0.00213108000000008,-0.00635882500000067,-0.00060107500000156,-0.0120272849999991,-0.0122660599999997,-0.0116433049999998,0.00180592000000026,0.16621835,0.014013969999999
"4",-0.0086337699999997,-0.00696822500000046,-0.00122170000000031,0.497999320000002,-0.00919091500000115,-0.0156091199999998,0.123166289999999,-0.00969115500000091,-0.00785720499999922,-0.00782448000000066,-0.00562739000000049,-0.000361870000001348,-0.00255080999999952,0.0012456250000008,0.00396478999999825,-0.00642478499999935,-0.00557201999999959,-0.00177428500000066,-0.00671708000000118,-0.00685983500000018,-0.0103711549999989,-0.00540610500000136,-0.00469425000000076,0.146655475000001,-0.00218517999999895,0.01193823,-0.0097833349999977,-0.00937908500000123,-0.00875312000000105,0.0177303450000012,-0.00202523999999959,-0.0107101250000012,-0.00495196499999903,0.0018690300000037,0.00208205999999956,-0.00363568999999956,-7.33450000017417e-05,-0.0040851650000002,0.00104847999999914,-0.0118410800000007,0.0129519499999992,-0.00959865500000042,-0.0077655849999989,-0.00802611500000088,-0.00347339499999857,-0.00386925499999852,-0.0134717800000004,-0.002421015,0.00371843499999934,-0.00545541999999926,-0.00433992000000164,-0.0121845299999988,-0.00134229000000036,0.00371706999999946,0.00666017500000249,-0.00229977499999921,-0.00502845999999901,0.00108242499999995,-0.00253706000000008,-0.00362063999999914,0.00807455500000155,-0.00491511500000007,-0.00103679999999878
"5",0.10356702,0.00173895999999822,-0.00503355500000007,-0.00919091500000115,0.492898585000006,-0.0081458000000022,-0.00416333500000141,-0.0139974999999998,-0.00233290499999937,-0.00403084999999935,-0.00716820999999904,0.00322914500000118,-0.00265134500000011,0.00304570500000098,0.00163322000000144,-0.000595575000001846,0.00991930499999981,0.165417105,-0.00193447499999954,6.06500000145844e-06,-0.0046947099999988,-0.00194254999999762,-0.00753027500000183,-0.0108335050000008,-0.00861511499999951,-0.003174099999999,-0.0120733950000032,-0.014457585000001,0.00624904000000109,-0.0114903849999984,-0.0093941250000007,0.00177969500000107,-0.00767899000000302,-0.0109354550000021,-0.0104978950000015,-0.00677459499999983,-0.0107575999999986,-0.000858614999998828,-0.00166329999999848,-0.00049268000000202,0.00219100999999815,-0.00497752499999921,0.00315501500000004,-0.0023522650000001,-0.00225897500000151,-0.00526020500000081,0.0887972400000038,-0.00956916499999953,-0.00605843000000071,-0.00678357000000032,-0.00421279499999886,-0.00465269500000072,0.00411899000000122,-0.00974819500000047,0.000767144999999255,-0.0109205100000013,-0.00785489000000076,-0.00119553500000244,0.000873730000000533,0.00450297499999793,-0.00402193000000192,-0.00303552500000036,0.00268143499999866
"6",-0.0122025250000014,-0.00455612499999833,-0.00859027499999986,-0.0156091199999998,-0.0081458000000022,0.500103195000002,-0.00646498499999626,0.000644449999998279,-0.00894460999999895,0.00015579500000132,-0.00451934500000088,-0.00284227499999877,-0.00120361499999963,0.000116465000000217,-0.0107589250000005,-0.0102423049999994,0.00173124500000285,-0.0123113749999986,-0.00906495000000222,-0.00381488499999953,0.112539749999998,0.00426454499999925,0.00189855000000142,-0.0105619199999984,-0.00302108500000123,-0.0113792250000008,-0.000231889999999565,-0.00381671999999985,0.186383860000002,-0.00108862000000215,-0.00738264000000157,-0.0114294100000005,0.0820635200000009,0.00185280999999965,-0.0148872350000003,-0.0022393299999994,0.00987620000000017,-0.00123287999999812,-0.00394508999999806,0.000814619999998801,0.0032852749999985,0.0130146100000006,-0.000500710000002836,-0.00729924500000046,-0.00773238999999932,-0.0013636450000008,-0.0067403049999998,-0.0143744800000002,-0.00315500000000006,-0.00398258500000148,-0.00755807000000134,-0.0131357800000003,0.13496536,-0.00538632000000177,-0.0080839699999988,-0.00814214500000013,0.104322024999998,-0.00728139499999627,0.0858548399999989,0.00421787499999989,-0.0163490250000005,-0.00796779000000163,-0.0079657900000021
"7",-0.00429626500000068,0.00372993000000249,-0.00908694000000051,0.123166289999999,-0.0041633350000014,-0.00646498499999627,0.500063924999998,-0.0107781999999992,-0.0101181850000005,0.00355084499999929,-0.0038206950000008,0.000902294999997848,-0.00432470999999869,0.0052774949999993,0.00647989999999713,-0.0129189299999985,-0.0061587549999997,-0.00268033499999969,-0.00288531499999937,-0.00442288000000032,-0.000401049999999307,0.000215059999998186,-0.0132479650000012,0.00106816499999796,-0.00511196000000045,0.00655084499999823,-0.00215908999999825,-0.00634549000000067,-0.00143584500000017,-0.00170461000000008,-0.00307516999999816,-0.00407358500000073,0.000916689999999507,-0.0072619500000004,-0.000851569999999759,0.000132250000000123,-0.00251659500000105,-0.0117757899999999,-0.0060720400000024,-0.00193859499999985,-0.00120579999999777,0.000213925000000389,-0.00358378500000024,-0.00443918499999905,-0.00523304999999994,-0.00419309499999802,-0.00557795999999809,0.00649954499999987,0.00355446999999995,0.00129724499999997,0.000495669999999774,-0.00501784999999962,-0.00640945000000054,-0.00306940500000108,0.000377765000000014,0.00352324500000224,-0.0047263449999991,-0.00208581499999874,-0.00423414999999989,-0.00377680499999863,0.00291191500000164,-0.0135638349999998,-0.00328182999999774
"8",-0.00148146000000087,-0.00117664499999933,-0.00543968999999798,-0.00969115500000091,-0.0139974999999998,0.000644449999998274,-0.0107781999999992,0.494373649999999,0.00624986000000247,0.00411572999999996,-0.00633692000000242,-0.00751702999999914,-0.000169350000001429,-0.00566916,-0.0058090349999993,0.00243571500000033,-0.00141475499999859,-0.0060230750000004,-0.0075316800000007,0.104185005,0.00451194999999783,-0.00891484000000039,-0.011361709999999,-0.00843230499999962,-0.00641964999999965,-0.00891568499999701,-0.009694915,-3.27499999865545e-06,-0.00856082500000012,0.00132051999999886,0.00171413999999867,-0.0104746850000004,0.165191935000002,-0.00395813000000125,-0.00168696000000048,0.00378205500000262,0.0589855900000008,-0.00408400999999705,0.00244443000000162,-0.0127005799999998,-0.00409455000000206,-0.00450177000000035,-0.00970761999999947,-0.000465734999998141,-0.00506166499999779,-0.00651438499999941,-0.00722929500000095,-0.00240820999999779,0.00222293999999807,-0.00453279000000004,-0.0140998200000028,-0.000760700000000279,-0.00268566499999977,0.11690994,-0.000571514999996754,-0.0037949350000008,-0.00346747500000029,0.00997024999999996,-0.0125943949999997,-0.0133974700000002,-0.00296816499999891,-0.00831918999999915,0.000914525000001706
"9",0.0143402299999998,-0.00598935499999988,-0.00465942499999915,-0.00785720499999921,-0.00233290499999937,-0.00894460999999895,-0.0101181850000006,0.00624986000000246,0.502092894999999,-0.0102834399999984,-0.00723819499999811,-0.0067702699999987,0.00494609500000026,-0.0138925849999996,-0.0090721850000012,0.000388779999999387,-0.00621538499999943,0.00177781500000164,0.00664460999999998,0.00637506000000085,-0.0112710950000015,0.000175435000001596,-0.00796756499999883,-0.00276276000000012,-0.00444744000000036,-0.00944580000000212,-0.00866275000000077,-0.00271076000000191,-0.0110154400000002,0.00369519500000029,-0.00195052500000077,0.000466175000000945,-0.00723120500000018,-0.00728788000000083,-0.00395194000000054,0.103360104999999,0.00598302999999884,0.00306100000000091,-0.0132647049999986,0.0154424499999985,-0.00871610500000066,-0.00725331999999867,-0.00637149500000164,-0.0106846999999997,0.0116130799999986,0.00850559500000026,-0.00399100999999821,-0.00172577499999971,0.00971715499999998,-0.00185735500000065,-0.0059768600000012,0.00644305500000117,-0.00642577999999905,0.00420930000000076,-0.00185626500000133,0.00420126499999956,-0.00971538500000205,-0.00467790499999827,-0.00677680000000109,0.0100510049999992,0.00832933000000047,0.000240929999998877,0.000258279999999134
"10",-0.00615162499999938,-0.00929103500000063,-0.00953373500000015,-0.00782448000000066,-0.00403084999999935,0.000155795000001322,0.00355084499999929,0.00411572999999996,-0.0102834399999984,0.500187990000001,0.00900576000000134,-0.00233173000000025,-0.0126290799999998,-0.00210261000000046,0.00111289499999886,-0.0122756100000011,-0.00658388500000036,-0.0201966649999993,-0.00489917999999904,-0.0070483449999992,-8.58049999995829e-05,-0.00103427999999832,0.00647336499999889,-0.00317925499999999,-0.00570619999999828,-0.00157254000000141,-0.00101587500000082,0.0772152899999985,-0.0023982199999994,0.00193940000000051,-0.00346181000000132,-0.00407894999999919,-0.0027318499999996,0.00118175000000105,-0.00941010000000133,0.0110366449999993,-0.00779196499999988,-0.0194178199999995,0.0122274549999997,-0.00633516000000121,-0.00456309499999988,-0.00628415999999977,0.00148599999999909,-0.00838823000000073,2.61249999988096e-05,-0.00145402500000005,0.00127555500000118,-0.00700181000000121,-0.00675811999999866,4.09650000007204e-05,-0.0133070249999996,-0.0124309399999994,-0.00754049999999976,-0.0128408649999991,0.00660140499999957,-0.00239554500000027,-0.0128023950000007,-0.0041053999999997,-0.00867300500000046,-0.0112343800000007,-0.00183919500000044,-0.0090992800000015,-0.00463220000000015
