"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"1",0.493343559999998,-0.00508221000000079,-0.0123208250000007,-0.00957857500000092,0.00111470999999862,-0.0045752900000007,-0.0116224950000008,-0.00202370000000093,-0.0025432399999998,-0.00101683999999818,-0.00318226999999837,0.000499339999999175,-0.000300249999998243,0.00179061500000123,0.00166213999999946,0.00300004000000216,-0.0042625849999979,-0.00560360500000077,-0.00317334999999927,0.108249910000001,-0.00922178000000067,0.000945730000001045,0.00741878500000044,-0.000870510000000755,-0.00459347999999996,0.215871939999999,-0.0134270100000005,0.00027401999999895,-0.00683667000000083,-0.0014173000000012,0.170260384999999,-0.0144567800000004,-0.00411068000000055,-0.00961168000000028,0.112680664999999,-0.00433568000000002,-0.00868012500000012
"2",-0.00508221000000079,0.506474935,-0.0132496650000005,0.00348550999999961,0.00823971499999953,-0.00519825500000243,-0.00742162500000031,-0.0103273550000014,-0.00583605500000052,-0.00999383000000017,-0.00354579499999968,0.00131762999999968,-0.00707216999999884,-0.00580290999999916,0.00316556000000011,-0.000595510000000254,0.00400758500000058,-0.00611122500000117,0.000163350000002168,0.132652095000001,-0.00451724000000067,-0.00561164499999879,-0.00810513999999975,0.0023665150000005,0.139453614999999,0.00469791999999954,-0.00330702499999894,-0.00953625000000068,-0.00334303000000029,-0.00587279499999913,-0.00285521499999965,-0.0125163850000002,-0.00105226999999754,0.104625919999999,-0.00799192499999793,-0.000757179999999216,-0.0108364650000001
"3",-0.0123208250000007,-0.0132496650000005,0.491844785000001,-0.00205304999999946,0.00481665000000004,-0.00142144499999983,-0.00342982499999998,-0.010068425000001,-0.00941219999999994,0.00316818499999994,-0.0119734450000002,-0.00272187499999927,-0.00201026999999924,-0.00747637999999907,-0.010051115,-0.00679608499999881,-0.00829372499999979,2.30000000002708e-05,-0.00643197499999942,-0.00961906000000046,-0.00101514500000118,0.107300525,-0.0106729600000002,-0.00323199999999979,0.14255508,-0.00838364500000159,-0.0149241549999996,-0.00230011499999964,3.39300000002043e-05,-0.0135187199999996,-0.00104868000000027,-0.00438318500000024,-0.00473707499999986,-0.00610255499999926,-0.0134985,-0.00574689999999973,0.18582861
"4",-0.00957857500000092,0.00348550999999961,-0.00205304999999946,0.498129314999995,-0.00766681499999859,-0.0043688249999996,-0.0038103750000001,0.00769131000000019,-0.00144117999999857,-8.22399999994008e-05,-0.00516379500000062,-0.00486695999999843,-0.00154689500000026,0.00183891500000047,0.00499836999999951,0.0042678150000017,0.0375948649999993,-0.000299839999998335,0.00263876000000117,-0.00389373500000244,-0.0017395649999996,-0.00610709500000063,-0.00160441000000171,-0.00721257999999905,3.22999999862288e-06,-0.0045039200000003,-0.000554300000000286,-0.00164225499999857,-0.00453899999999998,0.00464413000000171,-0.00841698499999978,-0.00372929000000045,-0.00657883999999802,-0.000427925000000271,-0.00834707000000046,0.110152419999998,0.00523379000000039
"5",0.00111470999999863,0.00823971499999955,0.00481665000000004,-0.00766681499999859,0.492462024999999,-0.0106756000000012,-0.00782546999999948,-0.00569678000000161,-0.00786393499999944,-0.00540095999999907,-0.0013837850000015,-0.00158886499999993,-0.0036893849999996,-0.00175666499999762,-0.00951076000000137,-0.0110799549999982,-0.00441645999999813,-0.00611659000000059,0.00280158500000188,-0.00138764999999987,-0.0118983900000014,-0.00169778500000104,-0.00728229499999944,1.32400000012422e-05,0.000356044999999282,0.114357434999999,-0.00674512999999952,-0.01067453,-0.00789643499999993,-0.00338265500000103,-0.00285297999999956,-0.00274125999999918,-0.00114804499999869,0.00103345999999948,-0.00334921500000003,-0.00481911999999925,0.00100494499999926
"6",-0.0045752900000007,-0.00519825500000243,-0.00142144499999982,-0.00436882499999961,-0.0106756000000012,0.505304969999998,-0.00230447500000071,-0.00185718999999994,-0.00600956500000068,-0.00233616999999874,-0.00808460499999901,-0.00144739000000176,-0.0127584349999991,-0.00372390999999906,0.174858924999999,-0.00174604999999937,-0.00567986000000007,-0.00966585000000074,0.000651010000001725,-0.00890258499999816,-0.00164201000000016,0.000926515000000602,-0.00347989999999935,0.0735991050000011,-0.0102740799999998,-0.00572856000000175,0.00198619500000287,0.07431428,0.160733145000001,0.00174401000000016,-0.00674687499999966,-0.0012288549999996,-0.00548647499999952,-0.0122597400000016,-0.00226117499999882,-0.00163785000000058,-0.0048071349999997
"7",-0.0116224950000008,-0.00742162500000031,-0.00342982499999998,-0.0038103750000001,-0.00782546999999946,-0.00230447500000071,0.488643315000001,0.00232576499999938,-0.00337322,-0.00238474999999987,0.00192889499999993,-0.00544535500000099,-0.00369122999999948,-0.00314297999999807,-0.00467169000000129,-0.00116049500000053,-0.015145615000001,-0.00878272000000057,0.00027705000000034,-0.0107939099999991,-0.00566680499999858,-0.00460181500000162,-0.00265504499999818,-0.00988022500000105,-0.0067379200000005,-0.00933519500000075,0.00433689500000038,-0.0138215250000008,-0.00251502000000105,-0.00564726499999954,-0.00317010999999957,-0.00208973000000065,-0.00278136500000022,-0.00775153000000041,-0.0166662100000004,-0.00955543999999906,-0.00383824500000002
"8",-0.00202370000000093,-0.0103273550000014,-0.0100684250000011,0.0076913100000002,-0.0056967800000016,-0.00185718999999995,0.00232576499999937,0.491010699999998,0.116872835,0.000833410000000988,-0.00432245500000037,0.00578150000000049,0.000243884999999922,-0.0111164450000011,-0.00695998500000013,-0.00801215999999989,-0.00600548499999833,0.1567088,0.00651812000000039,0.0010787700000012,-0.0101184150000004,-0.00596392000000066,-9.49800000011788e-05,0.000308294999998775,-0.00678292499999967,-0.00556972000000002,-0.00489945500000092,-0.00879230000000076,0.147537555000001,-0.0011973150000017,-0.0133180850000008,0.0075973200000003,-0.00259335999999939,0.000656300000000429,-0.0104156649999997,0.0700991550000005,-0.0124692850000001
"9",-0.0025432399999998,-0.00583605500000051,-0.00941219999999993,-0.00144117999999857,-0.00786393499999944,-0.00600956500000068,-0.00337322,0.116872835,0.491964925,0.00144161999999907,-0.00991030000000102,0.0941855550000015,-0.00477346000000042,-0.0026076200000021,-0.00951037000000073,-0.00619790000000076,0.00341350499999934,-0.00464167999999859,0.00246325499999903,-0.0082813100000019,-0.00169940499999975,-0.00364018999999968,-0.00807284000000135,-0.00330932499999938,-0.00719811500000051,-0.00466953999999997,-0.00742543000000163,0.132666595,-0.00971141499999968,0.00368348999999933,-0.000154539999999992,3.70999999994779e-05,0.132572585000001,-0.00859702999999989,-0.00643007500000077,0.0921270150000005,-0.0151737749999997
"10",-0.00101683999999817,-0.00999383000000017,0.00316818499999994,-8.22399999993938e-05,-0.00540095999999908,-0.00233616999999874,-0.00238474999999987,0.000833410000000989,0.00144161999999907,0.488137935000001,-0.012907005,0.00217092000000075,-0.00735075500000015,-0.00851825999999903,-0.0115562399999996,0.000560914999999256,-0.00521455500000197,-0.00756859999999901,-0.00495574999999859,-0.0151238400000014,-0.0135928100000001,0.00161278499999902,-0.00582551000000126,-0.0145324199999987,-0.00441999500000142,-0.000927294999999073,-0.00740638499999906,-0.0113427700000002,-0.0096763549999998,0.00105751500000121,-0.00226748499999808,-0.00170566500000028,-0.000854649999999591,-0.00479891000000022,-0.0093707949999992,0.00557208000000037,-0.00845783000000046
