"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.496948790000001,-0.00463857000000025,-0.0109632050000003,0.150751239999999,-0.00962580499999989,-0.00593659999999984,-0.00184282999999887,-0.0017587400000002,-0.00701757999999984,-0.00475533499999995,0.00343548500000172,0.00112178999999976,-0.00814852000000011,-0.00925244000000132,0.172138995
"2",-0.00463857000000025,0.494133209999997,0.00200514000000121,0.0056483300000007,-0.000194925000000112,-0.000184664999998893,0.11336956,-0.000347295000000024,-0.00519030000000003,-0.0146892050000012,0.14739285,-0.00782911500000094,0.00312433999999991,-0.0067892399999983,-0.00494844500000001
"3",-0.0109632050000003,0.00200514000000122,0.498101315,0.0861231550000006,-0.00590548999999871,-0.00746263000000068,0.000806980000001077,-0.00844618499999996,0.00436557500000053,-0.00726331000000076,0.00774206500000099,0.00234150499999934,-0.0104327150000002,0.000381200000000362,-0.00740793500000027
"4",0.150751239999999,0.00564833000000071,0.0861231550000006,0.491172649999996,0.00218028999999983,0.000367829999999876,-0.00372398999999957,0.000566144999999632,-0.00524438499999929,-0.00348037500000189,-0.00486241999999931,0.0119897100000004,-0.0106188750000005,-0.0133006450000006,-0.00707547500000004
"5",-0.00962580499999989,-0.000194925000000114,-0.00590548999999871,0.00218028999999983,0.489622055,0.000761675000000241,-0.00846942,-0.000890090000001146,-0.00384593999999951,-0.00402523000000037,-0.00854931999999998,0.00683332999999988,0.155797135,-0.00952719499999953,0.11515937
"6",-0.00593659999999985,-0.000184664999998892,-0.00746263000000068,0.000367829999999877,0.000761675000000242,0.49703198,0.00727225000000052,-0.00911588500000113,-0.00658808999999996,-0.00394556000000009,-0.000280430000001009,-0.0069429849999994,0.00384783499999953,0.0128637750000001,0.00102812499999871
"7",-0.00184282999999887,0.11336956,0.000806980000001073,-0.00372398999999957,-0.00846942000000001,0.00727225000000052,0.500632805000001,-0.00895675999999977,-0.00944080499999878,-0.00128454500000094,0.215725975000001,-0.00159990999999873,-0.00211826500000036,-0.00671474999999991,-0.00428672500000047
"8",-0.0017587400000002,-0.000347295000000019,-0.00844618499999997,0.00056614499999963,-0.000890090000001146,-0.00911588500000112,-0.00895675999999977,0.494841115,-0.0122298799999999,-0.0101168900000013,-0.00241920999999939,-0.0127308099999998,-0.00513870500000097,-0.00370756499999994,-0.0151757050000005
"9",-0.00701757999999984,-0.00519030000000004,0.00436557500000053,-0.00524438499999929,-0.00384593999999951,-0.00658808999999996,-0.00944080499999878,-0.0122298799999999,0.493737355,-0.00582647999999912,-0.00139649999999893,-0.00864079499999795,-0.00858816499999973,-0.00533215999999959,-0.00197315000000039
"10",-0.00475533499999995,-0.0146892050000012,-0.00726331000000074,-0.00348037500000188,-0.00402523000000038,-0.00394556000000009,-0.00128454500000094,-0.0101168900000013,-0.00582647999999913,0.488861145000001,-0.000839255000000834,0.0280449349999997,0.125262289999999,0.00229547500000041,0.0011147199999993
"11",0.00343548500000173,0.14739285,0.00774206500000098,-0.00486241999999931,-0.00854931999999999,-0.000280430000001015,0.215725975000001,-0.0024192099999994,-0.00139649999999893,-0.000839255000000832,0.494621634999999,-0.00696663499999956,-0.000191065000000395,-0.0072429050000012,-0.00120326499999969
"12",0.00112178999999976,-0.00782911500000094,0.00234150499999935,0.0119897100000004,0.00683332999999989,-0.00694298499999941,-0.00159990999999873,-0.0127308099999998,-0.00864079499999795,0.0280449349999997,-0.00696663499999956,0.494316645000001,0.0466621799999986,-0.000917160000000019,0.00750650000000028
"13",-0.00814852000000012,0.00312433999999991,-0.0104327150000002,-0.0106188750000005,0.155797135,0.00384783499999953,-0.00211826500000036,-0.00513870500000097,-0.00858816499999973,0.125262289999999,-0.000191065000000398,0.0466621799999986,0.499817679999999,0.00177691499999923,0.130335705
"14",-0.00925244000000132,-0.0067892399999983,0.000381200000000368,-0.0133006450000006,-0.00952719499999953,0.0128637750000001,-0.0067147499999999,-0.00370756499999993,-0.0053321599999996,0.00229547500000042,-0.00724290500000121,-0.000917160000000017,0.00177691499999922,0.500236550000002,-0.00635113500000085
"15",0.172138995,-0.00494844500000001,-0.00740793500000027,-0.00707547500000004,0.11515937,0.00102812499999871,-0.00428672500000047,-0.0151757050000005,-0.00197315000000039,0.00111471999999929,-0.00120326499999969,0.00750650000000027,0.130335705,-0.00635113500000084,0.494711285000001
