"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.510324169999999,-0.000743244999999693,-0.00747987000000038,0.157917679999999,-0.00670700500000018,0.00786872500000111,-0.000857420000000814,-0.0142671700000002,-0.00914121000000004,-0.00282263500000003,0.000421424999999345,-0.0018610400000001,0.0750567050000005,0.162405465,-0.0113234900000008,-0.00358332499999946,-0.00537405000000048,0.0223324500000003,0.00523847499999962
"2",-0.000743244999999696,0.490644315,-0.00534317999999963,0.0146783549999981,-0.00223564499999912,-0.00854072499999991,-0.00704243000000055,0.200738285,-0.00557377500000002,-0.00639489499999946,0.0749444300000005,-0.00109660500000157,-0.00797318500000067,0.00541064999999927,0.000414619999999626,-0.00737635999999905,-0.00678528500000079,-0.00851137500000122,-0.0113747400000001
"3",-0.00747987000000039,-0.00534317999999963,0.49255367,0.00116541500000192,0.2157111,-0.000794629999999278,-0.00289860000000188,-0.00658943999999949,-0.00557786499999978,0.00128404499999985,-0.00148287999999943,-0.00263692499999953,-0.00781356000000002,-0.00234173000000013,-0.00516871500000052,-0.00220131500000035,-0.00915532000000102,-0.00251649999999885,-0.0147733149999997
"4",0.157917679999999,0.0146783549999981,0.00116541500000192,0.493749190000003,-0.00723709499999874,0.00058639499999896,-0.00554939000000069,-0.000376690000001105,-0.00277295500000009,-0.00877556000000099,-0.00827312999999998,-0.00997954499999978,0.157154095000001,0.160201614999999,0.00480543000000038,0.0010072650000007,0.00418982499999946,0.00287292000000053,-0.00926329499999882
"5",-0.00670700500000018,-0.00223564499999913,0.2157111,-0.00723709499999875,0.485239990000001,-0.000802059999999278,-0.00178725500000206,-0.00431375499999902,-0.00884264000000034,0.00381812499999928,-0.00216892499999933,-0.000876149999999825,-0.00758229000000041,-0.011148429999999,-0.000582315000002065,-0.00685953000000062,0.00802958000000068,-0.00750757999999938,-0.0127530900000001
"6",0.00786872500000111,-0.00854072499999991,-0.000794629999999278,0.000586394999998957,-0.000802059999999279,0.507150024999999,0.129484420000001,-0.000516819999999959,0.0120527550000002,0.15477771,-0.00181979499999868,-0.00330734000000071,0.000134704999999142,-0.00629075000000029,0.00363369000000106,-0.00701759999999945,-0.00678951499999992,-0.00522540500000145,-0.00213099000000004
"7",-0.000857420000000819,-0.00704243000000055,-0.00289860000000188,-0.00554939000000069,-0.00178725500000204,0.129484420000001,0.499058185000003,-0.00103131000000088,-0.000323750000000834,0.150099990000001,-0.00829737499999893,0.000500795000000232,-0.00731662499999974,-0.00268307499999935,-0.00398395999999913,-0.00962502499999954,-0.0116587099999997,-0.0126866250000012,-0.00602750499999979
"8",-0.0142671700000002,0.200738285,-0.00658943999999949,-0.000376690000001104,-0.00431375499999903,-0.000516819999999962,-0.00103131000000087,0.487051800000001,0.158787519999999,0.00191253500000054,0.0942003100000003,-0.005656995000001,-0.00541360000000145,0.00203442499999885,-0.00108256499999953,-0.000295484999998845,-0.00589906000000093,-0.005630470000001,-0.00473119000000015
"9",-0.00914121000000004,-0.00557377500000002,-0.00557786499999979,-0.0027729550000001,-0.00884264000000032,0.0120527550000002,-0.000323750000000835,0.158787519999999,0.49906687,0.00313435499999965,-0.00159981000000067,0.00140367499999987,-0.00601172500000074,-0.00667430000000037,0.000861355000001284,-0.00289559499999955,0.00250014999999997,0.00182316500000045,-0.00390550499999972
"10",-0.00282263500000004,-0.00639489499999947,0.00128404499999985,-0.008775560000001,0.00381812499999928,0.15477771,0.150099990000001,0.00191253500000053,0.00313435499999966,0.50301019,0.00509823999999968,-0.00336486999999968,0.00216185999999856,-0.00905618500000006,-0.0110469150000002,-0.0116029799999998,-0.0076706849999999,-0.00417598999999968,-0.00826508999999999
"11",0.000421424999999341,0.0749444300000005,-0.00148287999999944,-0.00827312999999998,-0.00216892499999933,-0.00181979499999868,-0.00829737499999893,0.0942003100000003,-0.00159981000000067,0.00509823999999967,0.502340584999999,-0.00821137000000038,-0.00945651000000049,0.00336224999999975,0.0649756450000007,-0.00871061999999884,-0.0080429,0.00183984499999929,-0.00228119499999993
"12",-0.0018610400000001,-0.00109660500000157,-0.00263692499999952,-0.00997954499999978,-0.00087614999999982,-0.0033073400000007,0.000500795000000235,-0.00565699500000099,0.00140367499999987,-0.00336486999999969,-0.00821137000000038,0.496994125,-0.00620917499999996,-0.00199945000000062,-0.00320031999999936,-0.00769211999999946,-0.0040738500000006,-0.00478393500000072,-0.000132020000000252
"13",0.0750567050000005,-0.00797318500000067,-0.00781356000000002,0.157154095000001,-0.00758229000000041,0.000134704999999143,-0.00731662499999973,-0.00541360000000146,-0.00601172500000073,0.00216185999999856,-0.0094565100000005,-0.00620917499999996,0.499532695000002,0.0970239150000005,0.0291441400000011,-0.000707175000000338,0.00784606000000035,0.000448214999999347,-0.00299135999999939
"14",0.162405465,0.00541064999999927,-0.00234173000000014,0.160201614999999,-0.011148429999999,-0.0062907500000003,-0.00268307499999935,0.00203442499999884,-0.00667430000000037,-0.00905618500000005,0.00336224999999975,-0.00199945000000062,0.0970239150000005,0.491211730000001,-0.000536920000000087,-0.0033072749999993,0.000421934999999751,-0.00426994500000096,-0.00245864500000049
