"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"1",0.499691210000002,-0.00638489499999973,-0.00518486499999957,-0.0109289250000005,0.00344594999999978,-0.00585863499999911,-0.000657494999999971,-0.00474035499999889,0.00533214500000212,-0.00735149500000063,-0.0105394999999996,-0.0072382500000003,-0.00130810999999919,-0.00527008500000072,0.00403656000000047,-0.0108413850000002,0.0933201950000009,-0.00107092999999966,-0.00518689500000004,0.00460358499999799,-0.00888665000000005,-0.000306945000001617,0.184793305,-0.00806601500000014,-0.0110634150000008,-0.000293814999999609,-0.00782564499999876,0.0045156850000011,-0.0017131949999999,-0.0105896299999998,-0.0131414200000001,-0.00140820000000044,-0.00159859499999925,-0.0052672199999994,-0.00532185000000094,0.0974898300000008
"2",-0.00638489499999972,0.500425279999999,0.00167094000000055,0.00242984999999857,-0.00904998999999942,0.00261915499999901,0.00228938999999975,-0.00656248500000051,-0.00978839500000066,0.000301274999999906,-0.0043625450000006,-0.00719902000000084,-0.0031049500000001,0.00728825500000059,-0.00725845000000043,-0.0117498449999999,-0.00669943499999923,-0.000248944999998992,0.00454979000000086,0.00882901500000049,-0.00824104999999998,-0.00572220500000014,-0.0100877399999987,0.0223487399999987,-0.00352168000000021,-0.0129171499999989,-0.000625790000000272,0.00145143000000006,-0.00520055000000012,-0.000811929999999632,-0.00112458499999974,-0.00344190000000007,-0.00850801499999916,0.126351635000001,-0.00815483500000064,-0.00963860999999867
"3",-0.00518486499999957,0.00167094000000055,0.499458669999998,-0.0103983250000004,0.006209480000002,-0.00677852000000042,-0.0132360149999998,0.00111308500000037,0.000466545000000039,0.00285767499999931,-0.0139675699999999,-0.00416461999999989,-0.0133370550000008,0.0936062999999987,-0.00848901999999974,-0.00968718000000014,-0.0118758399999997,0.0900621800000002,-0.00447597000000035,-0.00736090500000059,0.00225972500000017,-0.012608235000001,0.00167956499999987,-0.00886028500000109,-0.00189126999999978,-0.00414939499999941,-0.00199274999999923,0.00115439999999945,-0.00245114500000045,0.0543227650000002,-0.00506133499999964,-0.00465506500000052,-0.00760047999999927,-0.000306415000000351,0.0110112399999998,-0.00883603499999875
"4",-0.0109289250000005,0.00242984999999856,-0.0103983250000004,0.508790110000001,-0.00468458000000104,0.00308741500000053,0.00580535499999848,-0.0070128749999993,-0.00881051999999793,-0.00887098000000102,-0.0046499950000023,0.00294703999999906,-0.0048867199999996,-2.23200000010564e-05,0.00388251500000062,0.00460830500000126,0.00322751500000015,-0.0026177449999994,-0.00156897999999994,0.10591795,0.0957455249999992,0.00668983000000162,-0.00736961000000017,-0.00427703499999995,-0.00272629000000019,-0.00985613999999944,0.00519521500000034,-0.00810281499999767,0.00394647000000088,-0.00651194500000004,-0.00368927999999865,-0.00538582000000108,-0.0075439849999996,-0.00563309999999996,0.00642183999999911,-0.00164902000000019
"5",0.00344594999999978,-0.00904998999999941,0.00620948000000201,-0.00468458000000104,0.492110835000001,0.000252150000000123,0.00366360500000121,-0.00574003500000036,-0.00889202500000012,0.129244480000001,-0.00235541499999883,-0.00503880000000071,0.00569095500000006,-0.00720878999999925,0.0206264800000002,0.00285515000000025,-0.00881915999999956,-0.00330161500000031,-0.000882355000000522,-0.00738677999999924,-0.00704615500000042,0.0108245649999995,-0.000725220000000134,0.00984336499999953,0.1243088,-0.00241081000000068,0.00266808499999969,-0.00921961499999965,-0.00958593999999987,-0.00748795999999887,-0.00634219500000037,-0.00482478500000071,0.00830782500000115,-0.000310495000000098,0.0118753750000005,-0.0106542949999983
"6",-0.00585863499999911,0.00261915499999901,-0.00677852000000041,0.00308741500000053,0.000252150000000133,0.49827649,-0.0113675250000017,0.00344514000000058,-0.00713190499999945,-0.00376148000000122,-0.000990380000000614,0.0159710649999998,0.00501950499999925,-0.00366514000000109,0.000892515000001461,-0.00484461499999938,-0.00761841000000012,-0.00511889999999832,-0.00225970499999912,-0.0128702100000016,-0.00746464000000157,-0.0017856249999992,-0.00448252499999909,-0.00761050000000007,-0.00527548999999974,-0.00453545999999942,0.00350113999999959,0.132755700000001,-0.00401317499999985,-0.0042465650000008,-0.0169570449999998,-0.00206601500000044,0.0326271649999998,-0.00715404500000158,-0.00626732000000106,-0.00465650000000071
"7",-0.000657494999999951,0.00228938999999975,-0.0132360149999999,0.00580535499999848,0.00366360500000122,-0.0113675250000017,0.495302864999997,0.00415595999999975,-0.000235105000000822,-0.00445163499999879,0.262691614999998,-0.00822603999999966,0.00362019000000171,-0.00361150999999986,-0.00375221500000175,0.0049277849999997,0.00243214500000105,-0.0033533450000006,0.00415237500000013,-0.00787131999999977,-0.000181799999999429,0.00244710499999959,0.00623902500000047,0.00740462999999915,-0.00481008499999847,-0.000974364999999981,0.0100208100000003,-0.00694435999999919,-0.00425056999999932,0.00167721000000061,-0.00639267500000011,-0.0117426000000011,0.00120438500000136,-0.000897284999998992,-0.00862362999999928,-0.0116785599999992
"8",-0.00474035499999889,-0.00656248500000051,0.00111308500000037,-0.0070128749999993,-0.00574003500000035,0.00344514000000057,0.00415595999999975,0.494705814999998,0.00668872000000147,-0.00246076,0.00439172999999945,-0.0045764949999995,0.00717483499999981,-0.00552524000000145,-0.00315944499999986,-0.00813995000000052,-0.000812829999999857,-0.00473321999999992,-0.00536567499999985,-0.00384902500000176,-0.00842851500000027,0.0111545549999995,-0.00361641500000008,-0.00577294000000052,-0.00687167000000117,-0.00815996000000115,0.000115690000001262,-0.00257354500000075,-0.00351209500000047,-0.00918954499999876,-0.00535549500000077,-0.00662553499999803,0.000629920000000211,-0.00519718000000077,0.0799678449999993,-0.000884574999998906
"9",0.00533214500000212,-0.00978839500000065,0.000466545000000044,-0.00881051999999793,-0.00889202500000012,-0.00713190499999946,-0.000235105000000823,0.00668872000000147,0.500245545000003,-0.000476900000001611,0.0128607799999995,-0.00227159499999982,0.13589236,-0.00215862500000197,0.0146267600000013,-0.00139656999999959,-0.00637252499999994,-0.00685900999999939,-0.00481232999999877,0.00589830499999961,-0.000320785000002303,-0.00235966499999836,-0.00627897500000041,0.00175664499999917,-0.0157584900000021,-0.00354848000000047,-0.0102746599999989,-0.0121149299999991,-0.00273656500000008,-0.0134010100000003,-0.00965122999999899,-0.00250632000000214,-0.00588782999999989,-0.00846861500000112,0.000609675000000915,-0.00528043499999997
"10",-0.00735149500000064,0.000301274999999903,0.00285767499999931,-0.00887098000000101,0.129244480000001,-0.00376148000000122,-0.0044516349999988,-0.00246076,-0.000476900000001615,0.48694056,-0.00725527499999947,-0.00405867000000093,3.71450000002084e-05,0.000327960000000948,-0.0112719500000011,-0.00331517499999937,-0.00757327500000013,-0.00388850000000045,0.00264624500000054,-0.0101086700000008,-0.00839009999999883,-0.0112075149999996,-0.0078809449999993,-0.00142660500000018,0.128847115000001,-0.015170995,0.00112276499999982,0.000468079999999288,-0.0148230149999997,-0.00105697000000038,-0.00999368500000159,0.144433940000001,-0.00165704499999817,-0.00450011500000023,0.0114293599999997,-0.0131515950000004
