"","Np2_504486","Np2_501453","Np2_501058","Np2_502201","Np2_504694","Np2_501944","Np2_503220","Np2_500318","Np2_503386","Np2_500717","Np2_500220","Np2_500734","Np2_502282","Np2_503033","Np2_503245","Np2_500691","Np2_502136","Np2_502745","Np2_504261","Np2_504910","Np2_503900","Np2_503048","Np2_503782","Np2_502001","Np2_502094","Np2_502638","Np2_501433","Np2_504024","Np2_500524","Np2_501486","Np2_501702","Np2_504156","Np2_501566","Np2_504522","Np2_502989","Np2_504179","Np2_504127","Np2_500701","Np2_503354","Np2_502445","Np2_502175","Np2_502625","Np2_501745","Np2_501192","Np2_503677","Np2_503783","Np2_501494","Np2_503227","Np2_502377","Np2_501503","Np2_500636","Np2_500879","Np2_501224","Np2_501002","Np2_502784","Np2_501416","Np2_500158","Np2_500282","Np2_504175","Np2_501090","Np2_500237","Np2_503200","Np2_501358","Np2_500416","Np2_500759","Np2_503086","Np2_501680","Np2_500447","Np2_501251","Np2_504013","Np2_501095","Np2_504873","Np2_503542","Np2_503578","Np2_502597","Np2_503157","Np2_502126","Np2_503035","Np2_503106","Np2_500235","Np2_501484","Np2_503341","Np2_504306","Np2_500553","Np2_503335","Np2_501329","Np2_502952","Np2_503769","Np2_503231","Np2_504010","Np2_504557","Np2_501300","Np2_503711","Np2_503857","Np2_503050","Np2_503472","Np2_502571","Np2_504707","Np2_504618","Np2_500940"
"Np2_504486",0.99600109,-0.01742776,-0.01220102,-0.00437235,-0.02644734,-0.02477344,0.00073287,-0.02061909,-0.01822066,-0.0157144,0.00604011,-0.00109291,-0.0041688,-0.00953222,-0.02146965,-0.02078618,-0.02875763,-0.006227,-0.01648145,-0.01824949,-0.00950792,-0.00841277,-0.03053479,-0.01896189,-0.02002971,-0.01432756,-0.01526325,-0.01227089,-0.02372079,-0.01101171,0.01070478,-0.00370553,-0.01229371,-0.01418329,-0.00980109,0.00847954,-0.01453263,0.00259511,-0.01777103,-0.02667971,-0.00999248,-0.02396535,0.00857068,0.00785068,0.01322324,-0.01502631,0.00945014,-0.01925658,-0.00922693,0.002226,0.00271206,-0.01692346,-0.00952312,-0.01683233,-0.00494954,-0.01797155,-0.00623915,0.00291713,-0.00833377,-0.00986185,-0.0107079,-0.01478478,-0.0029582,-0.01576298,-0.01115146,-0.00875606,-0.00488878,-0.01820546,-0.01799432,-0.00127519,-0.00903707,0.00805423,-0.0086315,-0.00930894,0.03950118,-0.00568625,-0.01033272,-0.00915097,-0.02503014,-0.00211973,-0.01929001,-0.01000919,0.01497612,-0.00148633,-0.02884729,0.00760767,0.00613428,-0.02659163,-0.02056289,-0.01929912,-0.00131013,-0.01422125,-0.02755767,-0.01502932,-0.02263167,-0.01652246,0.0112729,-0.01182586,-0.01564451,-0.01111193
"Np2_501453",-0.01742776,0.99907588,0.00498138,0.02784778,0.02065854,-0.01199598,-0.00091976,-0.01209472,-0.00969628,-0.00263314,-0.00016939,-0.0009228,-0.01918821,-0.03001985,-0.00428727,-0.01575539,-0.00367666,-0.01425926,0.00753627,0.0650074,-0.01313519,-0.00793886,-0.02337748,-0.00436171,-0.02198614,0.00741171,-0.0056756,-0.0046579,-0.02370257,-0.01190485,-0.01342833,-0.02328184,-0.0007314,-0.01097526,-0.01494732,-0.01459037,0.00963698,-0.02138614,-0.01501869,0.0107048,-0.02759415,-0.00116279,-0.02254967,-0.01567488,-0.03399805,-0.00224885,0.00126602,-0.00480828,-0.01710727,-0.01567946,-0.02795261,-0.00186759,-0.02180844,-0.02288994,0.00084071,0.00634997,-0.0183726,-0.01544405,-0.02274561,-0.01242585,-0.02086667,-0.0030706,-0.00582598,0.0096218,-0.01341166,-0.02575015,-0.0174779,-0.01803534,0.00085894,-0.02525647,-0.01251245,-0.01076259,-0.01757511,-0.00686039,0.00093793,-0.00293389,-0.01806116,-0.01839837,-0.00222758,-0.02883511,-0.01076563,-0.01804143,-0.01037223,-0.01741713,-0.01865206,-0.0030068,-0.02923917,-0.00561181,-0.01097525,0.00016175,-0.01557012,-0.01359544,-0.02115984,0.00549479,-0.02595515,-0.02060543,-0.01103752,-0.00618749,0.00017085,-0.02035933
"Np2_501058",-0.01220102,0.00498138,0.97398233,-0.02586099,0.0067464,-0.011478,-0.00845224,-0.00428576,-0.01327948,-0.00864668,0.01082936,-0.00587306,-0.00135417,-0.01507181,-0.01895879,-0.01022486,0.01385357,-0.02923463,-0.01154027,0.01069111,0.00272422,-0.02245853,-0.01055598,-0.03817204,-0.00430398,-0.02290506,0.03372754,-0.0082411,-0.01984286,-0.0036402,0.0098739,-0.01304253,-0.01236508,-0.01045727,-0.02278358,-0.02045198,0.00605375,-0.0034002,-0.00645026,-0.01019447,-0.02722803,-0.01811278,-0.02901885,-0.02609333,0.00236726,-0.00841427,-0.00778542,-0.00656874,0.00103058,-0.0040731,-0.01376402,-0.0209441,-0.01080966,-0.0172075,-0.02461543,-0.00832162,-0.02393045,0.00907346,-0.01767075,-0.01464198,-0.0066781,-0.01090686,-0.00409284,-0.02859356,-0.00302047,-0.0032073,-0.02090919,-0.01599839,-0.01077472,-0.00848566,-0.00333642,-0.00356122,-0.00627254,-0.0292786,-0.00735404,-0.00909932,-0.00463208,-0.02334861,-0.01279797,-0.02543108,-0.00796922,-0.02542198,0.01490471,0.04826394,-0.02633641,-0.00886844,-0.02780979,-0.00995449,-0.01440654,-0.00509232,0.00621326,-0.02538098,-0.01168002,-0.0084173,-0.01328553,-0.01203697,0.0043662,-0.02587159,0.00949875,-0.01027193
"Np2_502201",-0.00437235,0.02784778,-0.02586099,1.01075825,-0.01914573,0.00394546,0.00773071,-0.00891251,-0.0092482,-0.01691894,-0.01475899,-0.01384153,-0.00567712,-0.01666068,-0.00125696,0.00808461,-0.0090006,-0.01016567,-0.01009122,-0.0177832,-0.023016,-0.02374362,-0.01123346,-0.00679963,-0.02913283,-0.01143092,0.00525328,-0.03003204,-0.0054827,-0.02163379,-0.00903097,-0.03377027,-0.01015655,-0.03224828,-0.02194213,-0.01793967,-0.01452201,-0.00103975,-0.01684904,-0.01922621,-0.01636148,-0.02258767,0.01025217,0.00315256,-0.00590498,-0.01000312,-0.0186399,-0.02228387,-0.03367151,-0.0249527,-0.00380881,-0.01721663,-0.02105658,-0.00087267,-0.01010337,-0.01796094,-0.02643071,-0.02729954,-0.00239922,-0.02306614,-0.0097859,0.00223815,-0.01950419,4.478e-05,-0.00931808,-0.01846676,-0.00989072,-0.02290361,-0.00902187,-0.00020129,0.01482122,-0.02155479,0.03026444,0.00194196,0.01399337,0.01862771,-0.02216995,-0.00640623,-0.01985508,-0.00362806,-0.01396304,-0.00437843,-0.00749381,-0.01955129,-0.02564687,-0.02595067,-0.00950035,-0.00167013,-0.002021,0.00774893,-0.01193222,-0.00524879,-0.01554731,0.02842344,-0.00257086,-0.00451209,0.01006837,0.00838689,-0.02763366,-0.02203779
"Np2_504694",-0.02644734,0.02065854,0.0067464,-0.01914573,1.00473324,-0.00263617,-0.01555946,0.0211127,-0.03572816,-0.02669039,-0.00964466,-0.00811962,-0.00830947,-0.0036478,-0.01771178,0.01183188,-0.01041778,-0.009912,-0.00573637,-0.01540299,-0.01030689,0.00157285,-0.01356201,-0.00973577,0.00043667,-0.02029099,-0.01773307,-0.00441183,-0.01403898,0.00687249,-0.03505518,0.00491304,0.01136253,-0.02045052,-0.00406856,0.00236422,-0.00014205,-0.0070138,-0.01948138,-0.01547895,-0.02187984,-0.00972666,0.0045819,-0.00206201,-0.01522073,-0.01309116,-0.01990518,-0.02370105,-0.0033425,0.00066756,-0.00477031,-0.00997577,-0.01943584,0.00834284,-0.0134952,-0.01482125,-0.00126608,-0.00881835,-0.037841,-0.01415442,-0.01226635,-0.00950793,-0.002542,-0.00592927,-0.0095201,-0.00727659,-0.0255861,0.00590643,-0.02790704,-0.0145296,-0.01849412,-0.02236439,-0.02082265,-0.01344962,-0.03041031,-0.00861176,-0.00778999,-0.02589898,-0.02719619,-0.01765256,-0.00155772,-0.01308659,-0.00435412,-0.0159559,-0.00822898,-0.01400102,-0.00696824,0.01650723,-0.00556472,-0.00885782,-0.00696977,-0.02094416,-0.02228083,0.00057642,-0.02510151,0.00364015,-0.00258909,-0.01247293,0.00634085,-0.00841731
"Np2_501944",-0.02477344,-0.01199598,-0.011478,0.00394546,-0.00263617,0.99835883,-0.01494884,-0.00364324,0.00042604,-0.00997881,-0.01814778,-0.01236965,-0.01423035,-0.01473312,0.01191083,0.00013896,-0.01087042,-0.01476963,-0.02623923,-0.02132386,-0.01440503,-0.02713239,0.02076938,-0.01580855,0.02155317,0.01161009,0.00080122,-0.01185166,0.00829271,-0.03216165,-0.0072553,-0.01057728,0.00179614,0.0091722,-0.00285035,-0.00598699,-0.01472098,-0.01916238,-0.01370631,-0.04205762,-0.01169979,-0.00774898,-0.01349063,0.00568769,-0.00974944,0.01060761,-0.0209654,-0.00136936,0.00592617,-0.01846826,-0.03074141,-0.02121299,-0.01943279,-0.01747638,-0.02534001,-0.00631205,0.035192,0.00470343,-0.0161169,-0.00686039,-0.02775665,-0.00950489,-0.01666524,-0.01109068,0.0026346,-0.02079227,-0.01130486,-0.01702675,-0.00603104,0.00567555,-0.03079463,-0.0167412,-0.01504756,0.00280624,-0.0079267,0.01144152,-0.01431846,-0.00933933,-0.02035783,-0.02235828,-0.01613665,0.00256169,-0.00419918,-0.0010671,-0.01536504,-0.00868163,-0.00180075,-0.01265369,-0.0155868,-0.01477871,-0.01137172,-0.01759941,-0.00921477,-0.02782501,-0.0267693,-0.01124258,-0.00486449,-0.0086725,-0.01613665,-0.02451518
"Np2_503220",0.00073287,-0.00091976,-0.00845224,0.00773071,-0.01555946,-0.01494884,0.99894219,-0.01079448,-0.00718089,-0.01652248,-0.01436253,0.00295966,-0.02047021,0.00743145,-0.01741709,-0.02341701,-0.02121147,-0.00657939,-0.01303647,-0.01222229,-0.01654371,-0.01149929,-0.00066001,-0.01885861,-0.00625584,-0.00161696,-0.0099955,-0.01216761,-0.01663031,-0.01303495,-0.00893831,-0.00952616,0.00710034,-0.01347242,-0.02564685,-0.01313823,-0.00683456,-0.00550396,-0.01052866,-0.01533616,0.0144141,-0.01976088,-0.01517363,-0.02151374,-0.02920423,-0.01522681,-0.03069886,-0.01125472,-0.02355371,-0.00450602,-0.01799433,-0.00284579,-0.02141959,-0.00457741,-0.01517515,-0.01194434,-0.01373067,-0.01520709,-0.01005323,-0.01188509,-0.0109084,0.00248271,-0.00239922,-0.00852061,-0.00740267,-0.0182222,0.00873321,0.00149234,-0.00285339,-0.00998184,-0.01227549,-0.01234838,-0.01764195,-0.01604096,-0.01841966,0.003227,0.00632718,0.01236959,0.00135108,-0.01796546,-0.0061237,-0.01476656,-0.00952768,0.00043971,-0.00368122,0.00087565,-0.00166101,-0.00628623,-0.01970012,-0.02360081,-0.00576371,-0.01077626,-0.01803686,-0.00550852,-0.00688317,-0.01459643,0.01821149,-0.02098819,-0.01250331,-0.03075505
"Np2_500318",-0.02061909,-0.01209472,-0.00428576,-0.00891251,0.0211127,-0.00364324,-0.01079448,0.99755367,-0.01258382,-0.02617849,-0.0004747,-0.0083672,-0.00248124,-0.0130091,-0.00838996,-0.01438986,-0.00504524,0.00320725,-0.02557849,0.00075413,-0.01480755,-0.01978823,-0.01517665,-0.01059094,-0.0067981,-0.00823504,-0.00628471,-0.02653234,-0.00076786,-0.01190637,-0.01434121,-0.00080279,-0.01865662,-0.0240398,-0.01479694,0.00424318,-0.02575619,-0.0033121,-0.00013445,0.00158956,-0.01787434,-0.00769581,-0.00584269,-0.01886619,-0.0160759,-0.00862998,-0.00784923,-0.01270836,-0.01088107,-0.01750372,-0.01094182,0.00208018,0.00568315,-0.01803079,-0.00842644,-0.02053708,-0.00212126,-0.01180006,-0.00831706,-0.01121219,-0.00856465,-0.01613513,-0.02359928,-0.01437922,-0.01295749,-0.00448627,-0.03403604,-0.00892312,-0.00916768,0.00177943,-0.00340021,-0.00544777,0.03027048,-0.01992493,-0.01789864,-0.00080887,-0.01973352,-0.02402003,-0.01073525,-0.00726747,-0.01350126,-0.00285339,-0.00581687,-0.02835513,-0.00407159,-0.0175903,-0.01708904,0.02005703,-0.0165969,-0.01001678,0.00022554,-0.01633108,0.0007116,-0.00787353,-0.00879249,-0.01893608,-0.01726675,-0.00740417,-0.00727354,-0.01944947
"Np2_503386",-0.01822066,-0.00969628,-0.01327948,-0.0092482,-0.03572816,0.00042604,-0.00718089,-0.01258382,0.99642646,0.01115594,-0.00187366,-0.01979126,-0.01906973,-0.02792674,8.428e-05,0.01626114,0.00342901,-0.02765951,0.04426157,-0.0208469,-0.00375108,-0.00933934,-0.01581613,-0.02034414,-0.02475366,-0.00264681,-0.0163417,0.00335914,-0.01553363,-0.01041931,-0.0084492,-0.0289354,0.0021212,-0.00189492,-0.00434804,0.00132527,-0.01652246,0.00075717,-0.00928008,-0.02958092,-0.0261086,0.00153792,0.00020123,-0.01267038,-0.01701916,-0.0045607,-0.00742544,-0.01699333,-0.02184944,0.00053996,-0.01279646,-0.01693864,0.01005622,0.00016477,-0.00314199,-0.02497395,-0.02615271,-0.0214014,0.00744817,-0.01929456,-0.01907735,0.01633861,0.00325433,-0.00787961,-0.00934389,-0.00360679,-0.02176439,-0.01837254,-0.01785762,-0.02346713,-0.01360914,-0.01854268,-0.01381113,-0.01509617,0.00166399,-0.00023319,-0.01961353,-0.01326734,-0.00879251,-0.01383086,-0.01869762,-0.01883432,-0.02073454,-0.01942518,-0.00714141,-0.01914116,-0.02137401,-0.00382248,-0.00827454,0.02200129,0.00976308,-0.00922389,-0.00129493,-0.01990517,-0.00806491,-0.00317085,-0.0122861,-0.01958772,-0.01490022,-0.00246909
"Np2_500717",-0.0157144,-0.00263314,-0.00864668,-0.01691894,-0.02669039,-0.00997881,-0.01652248,-0.02617849,0.01115594,1.00614911,-0.02594915,-0.00938642,-0.00851301,-0.03164819,-0.00940918,0.01026128,-0.00940616,-0.01695086,-0.0062437,-0.02487215,-0.01415592,-0.00592169,-0.00693026,-0.01814166,-0.01055145,-0.00576067,0.0056072,0.01102985,0.00444064,0.00636516,-0.02538553,-0.02491018,-0.00175214,0.01002889,-0.01566427,-0.02563623,-0.01568704,-0.02043224,-0.02454559,-0.02737845,-0.01175448,-0.01767688,-0.0036721,-0.01122739,-0.0111712,-0.00326959,0.02621942,-0.0132719,-0.00491309,-0.01259902,-0.00284731,-0.02567266,-0.01720905,-0.01084766,-0.01673665,-0.01669565,-0.01149476,-0.00552828,0.00524569,-0.00980109,0.00059313,0.008516,-0.00684673,-0.01919584,-0.00714142,-0.01188511,0.00291865,-0.02376485,-0.01914874,-0.01458125,-0.02097609,-0.02530205,-0.01160866,-0.02155173,-0.00479158,0.00014655,-0.01315798,-0.02321651,-0.01843789,-0.01284356,0.00249182,-0.00569535,-0.0173169,0.00221992,-0.00341996,-0.0126856,-0.01081728,0.00081034,-0.00348983,-0.0043526,-0.01719845,-0.00732519,-0.00683913,-0.01299393,-0.02333041,-0.00522144,0.00935902,-0.02482812,-0.00069799,0.01568242
"Np2_500220",0.00604011,-0.00016939,0.01082936,-0.01475899,-0.00964466,-0.01814778,-0.01436253,-0.0004747,-0.00187366,-0.02594915,1.01381177,-0.02484638,-0.00468221,-0.00564067,0.00991494,0.00026959,-0.01970165,0.00525937,-0.00453944,-0.02104136,0.03493974,0.00033946,-0.02208639,-0.02114617,-0.01720145,-0.01165118,0.00321029,-0.01567033,-0.01269015,-0.01608199,-0.01623841,-0.01029477,0.00162298,-0.03246854,-0.00773228,-0.01679286,-0.02385601,-0.01614576,-0.0097783,-0.01443391,-0.02675875,-0.02068138,-0.00363869,-0.00451056,-0.01478328,-0.00581839,-0.02341702,-0.00184632,-0.00427209,0.00064933,0.00979344,-0.02396839,0.04297508,-0.01339647,0.00349889,-0.00542195,-0.01541065,-0.01779845,-0.02069505,-0.01052716,-0.02717036,-0.00496929,-0.01152207,-0.00397286,-0.01212056,0.00105944,-0.04094582,-0.00185847,-0.02868476,-0.01150992,-0.0241325,-0.02374968,0.00057642,-0.019088,-0.02541599,-0.0227563,-0.00218808,0.00020883,-0.02159429,-0.01053171,-0.0246641,0.01666673,-0.020929,-0.00351869,-0.008551,-0.01553821,-0.01048008,0.00433736,0.00018908,-0.01419241,-0.00516525,-0.00744368,-0.00422349,-0.00050508,0.00055059,-0.02295983,-0.03329025,-0.04028808,0.01391741,-0.01997961
"Np2_500734",-0.00109291,-0.0009228,-0.00587306,-0.01384153,-0.00811962,-0.01236965,0.00295966,-0.0083672,-0.01979126,-0.00938642,-0.02484638,1.00091103,0.00246296,-0.031153,-0.0215213,-0.02630607,-0.02653085,0.00587303,-0.03263404,-0.01252912,0.01990815,-0.00466703,-0.01418174,-0.0170389,-0.02722045,-0.0116451,-0.0150111,-0.01946162,-0.03318997,-0.00969629,-0.01896643,-0.01484556,-0.02358563,-0.00679205,-0.00438449,-0.0017491,-0.01838167,-0.01143091,-0.00658242,-0.02779463,-0.00032281,-0.01292862,-0.01897406,-0.02212436,0.00177943,-0.02768529,0.00210752,-0.01718169,0.01684747,-0.00329388,-0.00736468,-0.02183576,-0.01792903,-0.01825105,-0.00317845,-0.01012463,-0.00887303,-0.01293169,0.03308205,-0.0131033,-0.01622778,-0.01422884,-0.0077186,-0.01657411,-0.00573485,-0.01017477,0.01283136,0.00817271,0.00549783,0.03452053,-0.02321503,-0.02040189,-0.00807556,-0.01543642,-0.01538478,-0.01515542,-0.01964999,-0.01527844,-0.01353772,0.00998026,-0.01736702,-0.0250985,0.00808918,-0.00351261,-0.02251932,-0.00459564,-0.00986641,-0.01950418,-0.0118046,-0.00735102,-0.01989308,-0.00561485,-0.02958396,-0.00870137,0.06177051,0.0033242,-0.01368962,-0.0187128,-0.00946844,-0.01435339
"Np2_502282",-0.0041688,-0.01918821,-0.00135417,-0.00567712,-0.00830947,-0.01423035,-0.02047021,-0.00248124,-0.01906973,-0.00851301,-0.00468221,0.00246296,0.98108594,-0.01645711,-0.00317995,-0.01707839,-0.00894894,0.01191088,0.00165639,-0.00618748,-0.01810366,-0.02110971,-0.00115671,0.01542873,-0.02118258,-0.02596121,0.00196321,-0.01205671,-0.00740569,-0.01505059,0.00059008,0.00030605,-0.00888971,-0.00546295,-0.00913122,-0.0011795,-0.02996366,-0.02407616,-0.01862011,-0.03345269,0.02591713,0.0008559,-0.01673358,0.03024155,-0.02499213,-0.01967277,-0.02162611,-0.01068814,-0.02784777,9.85e-06,-0.00360526,-0.02126612,-0.01447338,-0.02026363,0.02093495,-0.01821305,0.00734185,-0.04441206,-0.02194206,-0.01222988,-0.0109494,-0.00727961,-0.02066767,-0.02937127,-0.00865884,-0.01355443,-0.01864899,-0.0008271,-0.02613437,-0.02247826,-0.01960747,-0.01254127,-0.01206281,-0.0112213,-0.00676469,-0.01124409,0.01327334,-0.03172109,-0.00825934,-0.0067662,-0.00844314,0.01344499,-0.02080895,-0.0062847,-0.00858288,-0.01070942,-0.02706855,-0.01939023,-0.00318451,-0.00875604,-0.02403221,-0.01157673,-0.01078688,-0.0128405,0.01236652,0.02986792,0.01771477,-0.01024461,0.0134298,-0.03489719
"Np2_503033",-0.00953222,-0.03001985,-0.01507181,-0.01666068,-0.0036478,-0.01473312,0.00743145,-0.0130091,-0.02792674,-0.03164819,-0.00564067,-0.031153,-0.01645711,0.97111718,-0.01902411,-0.02274559,-0.03846369,-0.00803454,-0.00780821,-0.01519637,-0.01951778,0.00132374,-0.01684899,-0.00497232,0.00368115,0.00497833,-0.00719758,-0.01240758,0.0255085,-0.01950263,0.0003911,-0.01903176,-0.01121522,-0.01766167,-0.00857072,-0.02142866,-0.00145443,-0.00164277,-0.01441412,-0.0035764,-0.00040787,0.09316112,-0.00280629,-0.02008284,-0.03005175,-0.00407462,0.00019971,-0.01620345,-0.02136334,-0.00869528,-0.02567716,-0.01554118,-0.00950791,-0.00846288,-0.02437694,0.00513176,-0.00622395,-0.01757359,-0.02350808,0.00260877,-0.00522446,-0.02707308,-0.01190481,0.00931495,-0.00657938,-0.02210765,0.00879699,-0.0227471,-0.02162458,-0.02191775,-0.01373063,-0.01365161,0.01902865,0.00422494,-0.02139373,-0.02693639,-0.00879855,0.00757271,-0.00815453,0.04118559,-0.01046486,-0.01379137,0.00526998,-0.01757203,-0.00695912,0.01142023,-0.01298936,-0.01928541,-0.00945931,-0.02277749,-0.0060037,-0.00190252,-0.01599839,-0.00301439,-0.008794,-0.02015273,-0.03215398,-0.02092436,-0.0186672,0.00485226
"Np2_503245",-0.02146965,-0.00428727,-0.01895879,-0.00125696,-0.01771178,0.01191083,-0.01741709,-0.00838996,8.428e-05,-0.00940918,0.00991494,-0.0215213,-0.00317995,-0.01902411,0.96182294,-0.01660749,-0.0192626,-0.01799737,-0.00607507,0.00035921,-0.0041141,0.00351255,-0.00934384,-0.00506193,-0.00719302,0.00352166,0.0082061,-0.00140885,-0.02971907,-0.01928845,0.00090906,-0.01031144,-0.01738065,-0.00484017,-0.02050816,-0.00724011,-0.00443005,-0.00021344,0.00083767,0.00013136,-0.01811732,-0.01841959,-0.01838921,-0.01956487,-0.00781276,-0.02056893,-0.01766163,0.00284573,-0.0197821,0.02174606,-0.01164051,0.0030523,-0.00276225,0.01316853,-0.00153037,0.00656108,-0.0016048,0.00466545,-0.01205366,-0.01221467,-0.00880767,-0.02670699,-0.01655128,-0.02282455,-0.01061827,0.0051439,-0.01696293,0.00890938,-0.02216987,-0.00848869,-0.01685815,-0.02331063,0.00314193,-0.02366149,-0.01768595,-0.02186155,0.00614944,-0.01226328,-0.02677536,-0.03090232,-0.01526322,-0.01691887,-0.01578119,-0.0030797,-0.0049222,-0.02801028,-0.01064864,-0.01345111,-0.01501714,-0.00524725,-0.03039659,-0.00047319,0.00517732,-0.00188885,-0.02559205,-0.02009044,-0.01340858,0.00116272,-0.01663027,-0.0002499
"Np2_500691",-0.02078618,-0.01575539,-0.01022486,0.00808461,0.01183188,0.00013896,-0.02341701,-0.01438986,0.01626114,0.01026128,0.00026959,-0.02630607,-0.01707839,-0.02274559,-0.01660749,0.99509263,-0.01219951,-0.01928852,-0.01632804,-0.01566575,-0.00965829,-0.0100821,0.00379508,0.00108982,-0.01380048,-0.01052866,-0.01009728,0.01066682,-0.02463064,-0.01754169,-0.0145083,-0.01509618,-0.01411494,-0.02086518,0.01313666,-0.01870825,-0.00237947,-0.01654218,-0.01944036,-0.01072916,-0.01819332,-0.00300224,-0.00069343,-0.01250177,-0.00955957,-0.0004428,-0.00923147,-0.007711,-0.00330148,-0.02313904,-0.00518498,-0.03925056,-0.02060998,-0.00042609,-0.01163143,-0.01174232,-0.03297132,-0.02746052,-0.02549643,-0.0207968,-0.01359239,-0.00779606,0.0114734,0.01659227,-0.01768145,-9.648e-05,-0.02235526,-0.00909021,-0.02528378,-0.00932413,-0.01176968,-0.00242504,0.00063565,-0.00080127,-0.02125554,0.00434039,-0.00926792,-0.02889586,-0.00756063,-0.01366226,-0.01701005,-0.00043824,-0.01327495,-0.00300376,-0.00864365,-0.01183346,-0.01528149,0.00302953,-0.01008058,-0.01276609,-0.00935909,0.01919729,-0.02330308,0.02051573,0.0179259,-0.01758422,-0.02518051,-0.01197622,-0.02111123,-0.00609787
"Np2_502136",-0.02875763,-0.00367666,0.01385357,-0.0090006,-0.01041778,-0.01087042,-0.02121147,-0.00504524,0.00342901,-0.00940616,-0.01970165,-0.02653085,-0.00894894,-0.03846369,-0.0192626,-0.01219951,0.98643947,0.00342294,0.00516821,0.0144885,-0.0221866,-0.00985121,-0.00569534,-0.03361521,-0.00551915,-0.01105725,-0.01518273,-3.876e-05,-0.01665308,-0.00348831,0.01701298,-0.01410581,-0.00188429,-0.02200135,-0.01534071,-0.02318611,-0.00047774,-0.01023548,-0.02012084,-0.01551083,0.00163209,-0.00079672,0.00303105,-0.0086254,-0.0021896,0.00282599,-0.00900058,0.01196249,-0.01613361,-0.00726291,-0.02302965,0.01019442,-0.02493595,-0.00080279,-0.00228682,-0.01454934,-0.03456317,-0.02571067,0.00511353,-0.01874316,-0.00910843,-0.02214714,-0.02186461,-0.01598626,0.01201719,-0.00882744,-0.01042842,-0.00582142,-0.01411642,-0.02428279,-0.00212125,-0.04229456,-0.0147787,-0.00801328,-0.008873,0.03008971,-0.02194815,-0.02031072,-0.00839302,-0.02816521,0.00235967,-0.00628319,-0.00438601,-0.01173471,-0.01813408,-0.00567864,-0.01899988,-0.01511894,-0.03035558,0.05323555,-0.01839384,-0.01383694,-0.00317388,-0.0151007,-0.01039953,-0.01066992,0.02593536,-0.03650429,-0.01085523,-0.01315795
"Np2_502745",-0.006227,-0.01425926,-0.02923463,-0.01016567,-0.009912,-0.01476963,-0.00657939,0.00320725,-0.02765951,-0.01695086,0.00525937,0.00587303,0.01191088,-0.00803454,-0.01799737,-0.01928852,0.00342294,1.02846866,-0.00541436,-0.01401772,0.00566037,-0.01207956,-0.02022721,0.01048457,-0.02916476,-0.02725999,-0.02910706,0.00213791,-0.0131094,-0.00359009,-0.00678444,-0.01010643,-0.0045683,-0.0061541,-0.02379681,-0.01554126,-0.00878188,-0.01975481,-0.00731153,-0.00330907,-0.01867183,-0.01305016,-0.01317168,-0.00553739,0.00439204,0.00682542,-0.03583603,-0.01016413,-0.00317237,-0.02938961,-0.00657484,-0.00023623,-0.02291125,-0.02384084,-0.01499595,0.02894299,0.01075195,-0.01654684,-0.00622852,-0.01337673,-0.01528606,-0.0100973,-0.01892853,0.00122805,-0.0360837,-0.0177392,-0.01721363,-0.02809999,-0.0013071,0.02012086,-0.0268302,-0.00457437,-0.01412103,-0.00735559,-0.0089748,-0.02378314,-0.00306301,-0.00583055,-0.0122922,-0.03039361,-0.0194632,0.01715889,-0.00752571,-0.0121403,0.00166247,-0.02233709,-0.0191017,-0.01036008,-0.00463513,-0.01202942,-0.02366013,-0.01439444,-0.00023774,0.00742996,-0.01931129,-0.01274637,-0.02535525,-0.00106254,0.0060553,-0.00612067
"Np2_504261",-0.01648145,0.00753627,-0.01154027,-0.01009122,-0.00573637,-0.02623923,-0.01303647,-0.02557849,0.04426157,-0.0062437,-0.00453944,-0.03263404,0.00165639,-0.00780821,-0.00607507,-0.01632804,0.00516821,-0.00541436,0.99701893,-0.01910771,-0.01674573,0.00090603,-0.02379823,0.01055898,-0.02468531,-0.02308433,-0.0045774,0.00783245,-0.03338894,-0.00943958,-0.02767154,-0.03023411,-0.01254433,-0.01397823,-0.02691213,-0.03111204,-0.01037828,-0.01375642,-0.00252832,-0.00034862,0.01497156,-0.02376029,0.00558593,0.00760006,-0.00844466,-0.01907432,0.01800945,-0.00674798,-0.0319581,-0.01154333,0.0003349,-0.010035,-0.01949507,-0.01753865,-0.01355443,-0.01898167,-0.01545164,-0.02710509,-0.01906518,-0.01953,0.03400254,-0.01928848,-0.00214555,-0.0062923,-0.01398431,0.00846132,-0.01091145,0.00782183,-0.00472625,-0.0021334,-0.01095855,-0.00541131,-0.01192004,-0.00986337,-0.00054609,-0.02492383,-0.01696295,-0.01547742,-0.01647083,-0.01148409,-0.01559134,-0.01709512,-0.01094487,-0.01479997,-0.00995906,-0.01299698,-0.00930591,-0.02243729,-0.00653534,-0.02167629,-0.01492759,-0.0138643,-0.00320122,0.00583351,-0.01771786,-0.01206434,0.01390829,-0.0148106,0.00096526,-0.00300832
